t_ms,thrust_raw_N,thrust_filt_N
6273,-6.1614,-6.2117
6284,-6.1053,-6.1904
6296,-6.3647,-6.2253
6308,-6.3085,-6.2419
6320,-6.185,-6.2306
6332,-6.0211,-6.1887
6344,-6.0593,-6.1628
6355,-6.0435,-6.1389
6367,-6.1412,-6.1394
6379,-6.3602,-6.1836
6391,-6.2614,-6.1991
6403,-6.3007,-6.2194
6415,-6.3591,-6.2474
6427,-6.2468,-6.2472
6438,-6.2625,-6.2503
6450,-6.2659,-6.2534
6462,-6.4759,-6.2979
6474,-6.7004,-6.3784
6486,-6.6342,-6.4296
6497,-6.4377,-6.4312
6509,-6.477,-6.4403
6521,-6.5926,-6.4708
6533,-6.4309,-6.4628
6545,-6.55,-6.4803
6557,-6.4927,-6.4827
6569,-6.4916,-6.4845
6580,-6.4736,-6.4823
6592,-6.3074,-6.4474
6604,-6.4366,-6.4452
6616,-6.4433,-6.4448
6628,-6.4556,-6.447
6640,-6.5399,-6.4656
6651,-6.5556,-6.4836
6663,-6.3288,-6.4526
6675,-6.1884,-6.3998
6687,-6.2356,-6.3669
6699,-6.2019,-6.3339
6711,-6.2984,-6.3268
6722,-6.4545,-6.3524
6734,-6.3669,-6.3553
6746,-6.3074,-6.3457
6758,-6.3422,-6.345
6770,-6.2681,-6.3296
6782,-6.5253,-6.3688
6793,-6.5646,-6.4079
6805,-6.6252,-6.4514
6817,-6.7139,-6.5039
6829,-6.6959,-6.5423
6841,-6.6353,-6.5609
6853,-6.6858,-6.5859
6864,-6.4433,-6.5574
6876,-6.313,-6.5085
6888,-6.5185,-6.5105
6900,-6.5062,-6.5096
6912,-6.6611,-6.5399
6924,-6.6634,-6.5646
6935,-6.7061,-6.5929
6947,-6.8352,-6.6414
6959,-6.6903,-6.6512
6971,-6.4815,-6.6172
6983,-6.4545,-6.5847
6995,-6.5432,-6.5764
7007,-6.4029,-6.5417
7018,-6.2535,-6.4841
7030,-6.3142,-6.4501
7042,-6.642,-6.4885
7054,-6.8779,-6.5663
7066,-6.6679,-6.5867
7078,-6.5747,-6.5843
7089,-6.5174,-6.5709
7101,-6.6376,-6.5842
7113,-6.441,-6.5556
7125,-6.5477,-6.554
7137,-6.7959,-6.6024
7149,-6.8082,-6.6436
7160,-6.6679,-6.6484
7172,-6.5208,-6.6229
7184,-6.7139,-6.6411
7196,-6.7543,-6.6637
7208,-6.5668,-6.6444
7220,-6.6802,-6.6515
7231,-6.6825,-6.6577
7243,-6.4905,-6.6243
7255,-6.4702,-6.5935
7267,-6.6072,-6.5962
7279,-6.6218,-6.6013
7291,-6.7633,-6.6337
7303,-6.7993,-6.6668
7314,-6.7757,-6.6886
7326,-6.779,-6.7067
7338,-6.6432,-6.694
7350,-6.5107,-6.6573
7362,-6.5724,-6.6403
7374,-6.7454,-6.6613
7385,-6.7701,-6.6831
7397,-6.8947,-6.7254
7409,-6.8431,-6.7489
7421,-6.8408,-6.7673
7433,-6.7566,-6.7652
7445,-6.7162,-6.7554
7456,-6.7409,-6.7525
7468,-6.8801,-6.778
7480,-7.0238,-6.8272
7492,-6.8981,-6.8413
7504,-6.7117,-6.8154
7516,-6.8599,-6.8243
7527,-7.0193,-6.8633
7539,-7.1182,-6.9143
7551,-7.1339,-6.9582
7563,-7.3147,-7.0295
